npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
3,92867.48673388531,92892.03429335455,-46430.743366942654,92861.48673388531,NA,NA,NA
8,91175.00419541207,91240.46435399671,-45579.502097706034,91159.00419541207,1702.4825384732394,5,0
10,83627.0905030764,83708.9157013072,-41803.5452515382,83607.0905030764,7551.913692335671,2,0
11,83594.60218160783,83684.60989966171,-41786.301090803914,83572.60218160783,34.488321468568756,1,4.288164817262918e-9
