contrast,estimate,SE,df,z.ratio,p.value
Wave 1 - Wave 2,0.09187740603498419,0.016366130846802166,Inf,5.613874586181525,5.930135482667964e-8
Wave 1 - Wave 3,-0.040905134161068876,0.016435938185543585,Inf,-2.488761742669941,0.03426086197128253
Wave 2 - Wave 3,-0.13278254019605307,0.014135448449198234,Inf,-9.393585260012356,2.808864252301646e-14
